Bundesland_Code;Kreis_Code;Kreis_Name
01;001;Flensburg, Stadt
01;002;Kiel, Landeshauptstadt
01;003;Lübeck, Hansestadt
01;004;Neumünster, Stadt
01;051;Dithmarschen
01;053;Herzogtum Lauenburg
01;054;Nordfriesland
01;055;Ostholstein
01;056;Pinneberg
01;057;Plön
01;058;Rendsburg-Eckernförde
01;059;Schleswig-Flensburg
01;060;Segeberg
01;061;Steinburg
01;062;Stormarn
02;000;Hamburg, Freie und Hansestadt
03;101;Braunschweig, Stadt
03;102;Salzgitter, Stadt
03;103;Wolfsburg, Stadt
03;151;Gifhorn
03;153;Goslar
03;154;Helmstedt
03;155;Northeim
03;157;Peine
03;158;Wolfenbüttel
03;159;Göttingen
03;241;Region Hannover
03;251;Diepholz
03;252;Hameln-Pyrmont
03;254;Hildesheim
03;255;Holzminden
03;256;Nienburg (Weser)
03;257;Schaumburg
03;351;Celle
03;352;Cuxhaven
03;353;Harburg
03;354;Lüchow-Dannenberg
03;355;Lüneburg
03;356;Osterholz
03;357;Rotenburg (Wümme)
03;358;Heidekreis
03;359;Stade
03;360;Uelzen
03;361;Verden
03;401;Delmenhorst, Stadt
03;402;Emden, Stadt
03;403;Oldenburg (Oldb), Stadt
03;404;Osnabrück, Stadt
03;405;Wilhelmshaven, Stadt
03;451;Ammerland
03;452;Aurich
03;453;Cloppenburg
03;454;Emsland
03;455;Friesland
03;456;Grafschaft Bentheim
03;457;Leer
03;458;Oldenburg
03;459;Osnabrück
03;460;Vechta
03;461;Wesermarsch
03;462;Wittmund
04;011;Bremen, Stadt
04;012;Bremerhaven, Stadt
05;111;Düsseldorf, Stadt
05;112;Duisburg, Stadt
05;113;Essen, Stadt
05;114;Krefeld, Stadt
05;116;Mönchengladbach, Stadt
05;117;Mülheim an der Ruhr, Stadt
05;119;Oberhausen, Stadt
05;120;Remscheid, Stadt
05;122;Solingen, Klingenstadt
05;124;Wuppertal, Stadt
05;154;Kleve
05;158;Mettmann
05;162;Rhein-Kreis Neuss
05;166;Viersen
05;170;Wesel
05;314;Bonn, Stadt
05;315;Köln, Stadt
05;316;Leverkusen, Stadt
05;334;Städteregion Aachen
05;358;Düren
05;362;Rhein-Erft-Kreis
05;366;Euskirchen
05;370;Heinsberg
05;374;Oberbergischer Kreis
05;378;Rheinisch-Bergischer Kreis
05;382;Rhein-Sieg-Kreis
05;512;Bottrop, Stadt
05;513;Gelsenkirchen, Stadt
05;515;Münster, Stadt
05;554;Borken
05;558;Coesfeld
05;562;Recklinghausen
05;566;Steinfurt
05;570;Warendorf
05;711;Bielefeld, Stadt
05;754;Gütersloh
05;758;Herford
05;762;Höxter
05;766;Lippe
05;770;Minden-Lübbecke
05;774;Paderborn
05;911;Bochum, Stadt
05;913;Dortmund, Stadt
05;914;Hagen, Stadt der FernUniversität
05;915;Hamm, Stadt
05;916;Herne, Stadt
05;954;Ennepe-Ruhr-Kreis
05;958;Hochsauerlandkreis
05;962;Märkischer Kreis
05;966;Olpe
05;970;Siegen-Wittgenstein
05;974;Soest
05;978;Unna
06;411;Darmstadt, Wissenschaftsstadt
06;412;Frankfurt am Main, Stadt
06;413;Offenbach am Main, Stadt
06;414;Wiesbaden, Landeshauptstadt
06;431;Bergstraße
06;432;Darmstadt-Dieburg
06;433;Groß-Gerau
06;434;Hochtaunuskreis
06;435;Main-Kinzig-Kreis
06;436;Main-Taunus-Kreis
06;437;Odenwaldkreis
06;438;Offenbach
06;439;Rheingau-Taunus-Kreis
06;440;Wetteraukreis
06;531;Gießen
06;532;Lahn-Dill-Kreis
06;533;Limburg-Weilburg
06;534;Marburg-Biedenkopf
06;535;Vogelsbergkreis
06;611;Kassel, documenta-Stadt
06;631;Fulda
06;632;Hersfeld-Rotenburg
06;633;Kassel
06;634;Schwalm-Eder-Kreis
06;635;Waldeck-Frankenberg
06;636;Werra-Meißner-Kreis
07;111;Koblenz, kreisfreie Stadt
07;131;Ahrweiler
07;132;Altenkirchen (Westerwald)
07;133;Bad Kreuznach
07;134;Birkenfeld
07;135;Cochem-Zell
07;137;Mayen-Koblenz
07;138;Neuwied
07;140;Rhein-Hunsrück-Kreis
07;141;Rhein-Lahn-Kreis
07;143;Westerwaldkreis
07;211;Trier, kreisfreie Stadt
07;231;Bernkastel-Wittlich
07;232;Eifelkreis Bitburg-Prüm
07;233;Vulkaneifel
07;235;Trier-Saarburg
07;311;Frankenthal (Pfalz), kreisfreie Stadt
07;312;Kaiserslautern, kreisfreie Stadt
07;313;Landau in der Pfalz, kreisfreie Stadt
07;314;Ludwigshafen am Rhein, kreisfreie Stadt
07;315;Mainz, kreisfreie Stadt
07;316;Neustadt an der Weinstraße, kreisfreie Stadt
07;317;Pirmasens, kreisfreie Stadt
07;318;Speyer, kreisfreie Stadt
07;319;Worms, kreisfreie Stadt
07;320;Zweibrücken, kreisfreie Stadt
07;331;Alzey-Worms
07;332;Bad Dürkheim
07;333;Donnersbergkreis
07;334;Germersheim
07;335;Kaiserslautern
07;336;Kusel
07;337;Südliche Weinstraße
07;338;Rhein-Pfalz-Kreis
07;339;Mainz-Bingen
07;340;Südwestpfalz
08;111;Stuttgart, Stadtkreis
08;115;Böblingen
08;116;Esslingen
08;117;Göppingen
08;118;Ludwigsburg
08;119;Rems-Murr-Kreis
08;121;Heilbronn, Stadtkreis
08;125;Heilbronn
08;126;Hohenlohekreis
08;127;Schwäbisch Hall
08;128;Main-Tauber-Kreis
08;135;Heidenheim
08;136;Ostalbkreis
08;211;Baden-Baden, Stadtkreis
08;212;Karlsruhe, Stadtkreis
08;215;Karlsruhe
08;216;Rastatt
08;221;Heidelberg, Stadtkreis
08;222;Mannheim, Stadtkreis
08;225;Neckar-Odenwald-Kreis
08;226;Rhein-Neckar-Kreis
08;231;Pforzheim, Stadtkreis
08;235;Calw
08;236;Enzkreis
08;237;Freudenstadt
08;311;Freiburg im Breisgau, Stadtkreis
08;315;Breisgau-Hochschwarzwald
08;316;Emmendingen
08;317;Ortenaukreis
08;325;Rottweil
08;326;Schwarzwald-Baar-Kreis
08;327;Tuttlingen
08;335;Konstanz
08;336;Lörrach
08;337;Waldshut
08;415;Reutlingen
08;416;Tübingen
08;417;Zollernalbkreis
08;421;Ulm, Stadtkreis
08;425;Alb-Donau-Kreis
08;426;Biberach
08;435;Bodenseekreis
08;436;Ravensburg
08;437;Sigmaringen
09;161;Ingolstadt
09;162;München, Landeshauptstadt
09;163;Rosenheim
09;171;Altötting
09;172;Berchtesgadener Land
09;173;Bad Tölz-Wolfratshausen
09;174;Dachau
09;175;Ebersberg
09;176;Eichstätt
09;177;Erding
09;178;Freising
09;179;Fürstenfeldbruck
09;180;Garmisch-Partenkirchen
09;181;Landsberg am Lech
09;182;Miesbach
09;183;Mühldorf a.Inn
09;184;München
09;185;Neuburg-Schrobenhausen
09;186;Pfaffenhofen a.d.Ilm
09;187;Rosenheim
09;188;Starnberg
09;189;Traunstein
09;190;Weilheim-Schongau
09;261;Landshut
09;262;Passau
09;263;Straubing
09;271;Deggendorf
09;272;Freyung-Grafenau
09;273;Kelheim
09;274;Landshut
09;275;Passau
09;276;Regen
09;277;Rottal-Inn
09;278;Straubing-Bogen
09;279;Dingolfing-Landau
09;361;Amberg
09;362;Regensburg
09;363;Weiden i.d.OPf.
09;371;Amberg-Sulzbach
09;372;Cham
09;373;Neumarkt i.d.OPf.
09;374;Neustadt a.d.Waldnaab
09;375;Regensburg
09;376;Schwandorf
09;377;Tirschenreuth
09;461;Bamberg
09;462;Bayreuth
09;463;Coburg
09;464;Hof
09;471;Bamberg
09;472;Bayreuth
09;473;Coburg
09;474;Forchheim
09;475;Hof
09;476;Kronach
09;477;Kulmbach
09;478;Lichtenfels
09;479;Wunsiedel i.Fichtelgebirge
09;561;Ansbach
09;562;Erlangen
09;563;Fürth
09;564;Nürnberg
09;565;Schwabach
09;571;Ansbach
09;572;Erlangen-Höchstadt
09;573;Fürth
09;574;Nürnberger Land
09;575;Neustadt a.d.Aisch-Bad Windsheim
09;576;Roth
09;577;Weißenburg-Gunzenhausen
09;661;Aschaffenburg
09;662;Schweinfurt
09;663;Würzburg
09;671;Aschaffenburg
09;672;Bad Kissingen
09;673;Rhön-Grabfeld
09;674;Haßberge
09;675;Kitzingen
09;676;Miltenberg
09;677;Main-Spessart
09;678;Schweinfurt
09;679;Würzburg
09;761;Augsburg
09;762;Kaufbeuren
09;763;Kempten (Allgäu)
09;764;Memmingen
09;771;Aichach-Friedberg
09;772;Augsburg
09;773;Dillingen a.d.Donau
09;774;Günzburg
09;775;Neu-Ulm
09;776;Lindau (Bodensee)
09;777;Ostallgäu
09;778;Unterallgäu
09;779;Donau-Ries
09;780;Oberallgäu
10;041;Regionalverband Saarbrücken
10;042;Merzig-Wadern
10;043;Neunkirchen
10;044;Saarlouis
10;045;Saarpfalz-Kreis
10;046;St. Wendel
11;000;Berlin, Stadt
12;051;Brandenburg an der Havel, Stadt
12;052;Cottbus, Stadt
12;053;Frankfurt (Oder), Stadt
12;054;Potsdam, Stadt
12;060;Barnim
12;061;Dahme-Spreewald
12;062;Elbe-Elster
12;063;Havelland
12;064;Märkisch-Oderland
12;065;Oberhavel
12;066;Oberspreewald-Lausitz
12;067;Oder-Spree
12;068;Ostprignitz-Ruppin
12;069;Potsdam-Mittelmark
12;070;Prignitz
12;071;Spree-Neiße
12;072;Teltow-Fläming
12;073;Uckermark
13;003;Rostock
13;004;Schwerin
13;071;Mecklenburgische Seenplatte
13;072;Landkreis Rostock
13;073;Vorpommern-Rügen
13;074;Nordwestmecklenburg
13;075;Vorpommern-Greifswald
13;076;Ludwigslust-Parchim
14;511;Chemnitz, Stadt
14;521;Erzgebirgskreis
14;522;Mittelsachsen
14;523;Vogtlandkreis
14;524;Zwickau
14;612;Dresden, Stadt
14;625;Bautzen
14;626;Görlitz
14;627;Meißen
14;628;Sächsische Schweiz-Osterzgebirge
14;713;Leipzig, Stadt
14;729;Leipzig
14;730;Nordsachsen
15;001;Dessau-Roßlau, Stadt
15;002;Halle (Saale), Stadt
15;003;Magdeburg, Landeshauptstadt
15;081;Altmarkkreis Salzwedel
15;082;Anhalt-Bitterfeld
15;083;Börde
15;084;Burgenlandkreis
15;085;Harz
15;086;Jerichower Land
15;087;Mansfeld-Südharz
15;088;Saalekreis
15;089;Salzlandkreis
15;090;Stendal
15;091;Wittenberg
16;051;Erfurt, Stadt
16;052;Gera, Stadt
16;053;Jena, Stadt
16;054;Suhl, Stadt
16;055;Weimar, Stadt
16;061;Eichsfeld
16;062;Nordhausen
16;063;Wartburgkreis
16;064;Unstrut-Hainich-Kreis
16;065;Kyffhäuserkreis
16;066;Schmalkalden-Meiningen
16;067;Gotha
16;068;Sömmerda
16;069;Hildburghausen
16;070;Ilm-Kreis
16;071;Weimarer Land
16;072;Sonneberg
16;073;Saalfeld-Rudolstadt
16;074;Saale-Holzland-Kreis
16;075;Saale-Orla-Kreis
16;076;Greiz
16;077;Altenburger Land
